# Deletion Ledger — Legacy Experience Files
path	reason
experience/2026-04-04-optimization-compute-compiler-hints-skill1.md	dependency-lost
experience/2026-04-04-optimization-compute-compiler-hints-skill8.md	dependency-lost
experience/2026-04-04-optimization-compute-fast-math-skill1.md	dependency-lost
experience/2026-04-04-optimization-compute-fast-math-skill2.md	dependency-lost
experience/2026-04-04-optimization-compute-fast-math-skill3.md	dependency-lost
experience/2026-04-04-optimization-compute-fast-math-skill4.md	dependency-lost
experience/2026-04-04-optimization-compute-fast-math-skill5.md	dependency-lost
experience/2026-04-04-optimization-compute-fast-math-skill6.md	dependency-lost
experience/2026-04-04-optimization-compute-fast-math-skill7.md	dependency-lost
experience/2026-04-04-optimization-compute-half-precision-math-skill1.md	dependency-lost
experience/2026-04-04-optimization-compute-half-precision-math-skill2.md	dependency-lost
experience/2026-04-04-optimization-latency-cuda-graphs-skill4.md	dependency-lost
experience/2026-04-04-optimization-latency-cuda-graphs-skill5.md	dependency-lost
experience/2026-04-04-optimization-latency-occupancy-tuning-skill2.md	dependency-lost
experience/2026-04-04-optimization-latency-occupancy-tuning-skill3.md	dependency-lost
experience/2026-04-04-optimization-latency-occupancy-tuning-skill4.md	dependency-lost
experience/2026-04-04-optimization-latency-occupancy-tuning-skill5.md	dependency-lost
experience/2026-04-04-optimization-latency-occupancy-tuning-skill6.md	dependency-lost
experience/2026-04-04-optimization-latency-work-stealing-skill2.md	dependency-lost
experience/2026-04-04-optimization-memory-bank-conflict-avoidance-skill1.md	dependency-lost
experience/2026-04-04-optimization-memory-bank-conflict-avoidance-skill2.md	dependency-lost
experience/2026-04-04-optimization-memory-bank-conflict-avoidance-skill3.md	dependency-lost
experience/2026-04-04-optimization-memory-bank-conflict-avoidance-skill4.md	dependency-lost
experience/2026-04-04-optimization-memory-bank-conflict-avoidance-skill5.md	dependency-lost
experience/2026-04-04-optimization-memory-cache-load-hints-skill1.md	dependency-lost
experience/2026-04-04-optimization-memory-cache-load-hints-skill2.md	dependency-lost
experience/2026-04-04-optimization-memory-cache-load-hints-skill3.md	dependency-lost
experience/2026-04-04-optimization-memory-cache-load-hints-skill4.md	dependency-lost
experience/2026-04-04-optimization-memory-cache-load-hints-skill5.md	dependency-lost
experience/2026-04-04-optimization-memory-cache-load-hints-skill6.md	dependency-lost
experience/2026-04-04-optimization-memory-coalescing-skill1.md	dependency-lost
experience/2026-04-04-optimization-memory-layout-transform-skill3.md	dependency-lost
experience/2026-04-04-optimization-memory-layout-transform-skill5.md	dependency-lost
experience/2026-04-04-optimization-memory-numa-binding-skill1.md	dependency-lost
experience/2026-04-04-optimization-memory-numa-binding-skill2.md	dependency-lost
experience/2026-04-04-optimization-memory-unified-memory-skill5.md	dependency-lost
experience/2026-04-04-optimization-memory-unified-memory-skill6.md	dependency-lost
experience/2026-04-04-optimization-memory-vectorized-access-skill1.md	dependency-lost
experience/2026-04-04-optimization-memory-vectorized-access-skill2.md	dependency-lost
experience/2026-04-04-optimization-memory-vectorized-access-skill5.md	dependency-lost
experience/2026-04-04-optimization-synchronization-atomic-reduction-skill1.md	dependency-lost
experience/2026-04-04-optimization-synchronization-atomic-reduction-skill2.md	dependency-lost
experience/2026-04-04-optimization-synchronization-atomic-reduction-skill3.md	dependency-lost
experience/2026-04-04-optimization-synchronization-atomic-reduction-skill4.md	dependency-lost
experience/2026-04-04-optimization-synchronization-barrier-optimization-skill1.md	dependency-lost
experience/2026-04-04-optimization-synchronization-barrier-optimization-skill2.md	dependency-lost
experience/2026-04-04-optimization-synchronization-barrier-optimization-skill5.md	dependency-lost
experience/2026-04-04-optimization-synchronization-barrier-optimization-skill6.md	dependency-lost
experience/2026-04-04-optimization-synchronization-cooperative-groups-skill1.md	dependency-lost
experience/2026-04-05-optimization-compute-compiler-hints-skill2.md	dependency-lost
experience/2026-04-05-optimization-compute-compiler-hints-skill3.md	dependency-lost
experience/2026-04-05-optimization-compute-compiler-hints-skill4.md	dependency-lost
experience/2026-04-05-optimization-compute-compiler-hints-skill5.md	dependency-lost
experience/2026-04-05-optimization-compute-compiler-hints-skill6.md	dependency-lost
experience/2026-04-05-optimization-compute-compiler-hints-skill7.md	dependency-lost
experience/2026-04-05-optimization-compute-half-precision-math-skill3.md	dependency-lost
experience/2026-04-05-optimization-compute-half-precision-math-skill4.md	dependency-lost
experience/2026-04-05-optimization-compute-half-precision-math-skill5.md	dependency-lost
experience/2026-04-05-optimization-compute-half-precision-math-skill6.md	dependency-lost
experience/2026-04-05-optimization-compute-instruction-level-parallelism-skill1.md	dependency-lost
experience/2026-04-05-optimization-memory-coalescing-skill2.md	dependency-lost
experience/2026-04-05-optimization-memory-coalescing-skill3.md	dependency-lost
experience/2026-04-05-optimization-memory-coalescing-skill4.md	dependency-lost
experience/2026-04-05-optimization-memory-coalescing-skill5.md	dependency-lost
experience/2026-04-05-optimization-memory-coalescing-skill6.md	dependency-lost
experience/2026-04-05-optimization-memory-data-prefetch-skill1.md	dependency-lost
experience/2026-04-05-optimization-memory-data-prefetch-skill3.md	dependency-lost
experience/2026-04-05-optimization-memory-data-prefetch-skill4.md	dependency-lost
experience/2026-04-05-optimization-memory-data-prefetch-skill5.md	dependency-lost
experience/2026-04-05-optimization-memory-data-prefetch-skill6.md	dependency-lost
experience/2026-04-05-optimization-memory-host-device-transfer-skill5.md	dependency-lost
experience/2026-04-05-optimization-memory-host-device-transfer-skill6.md	dependency-lost
experience/2026-04-05-optimization-memory-l2-cache-control-skill1.md	dependency-lost
experience/2026-04-05-optimization-memory-l2-cache-control-skill2.md	dependency-lost
experience/2026-04-05-optimization-memory-l2-cache-control-skill3.md	dependency-lost
experience/2026-04-05-optimization-memory-l2-cache-control-skill4.md	dependency-lost
experience/2026-04-05-optimization-memory-l2-cache-control-skill5.md	dependency-lost
experience/2026-04-05-optimization-memory-layout-transform-skill1.md	dependency-lost
experience/2026-04-05-optimization-memory-layout-transform-skill2.md	dependency-lost
experience/2026-04-05-optimization-memory-numa-binding-skill4.md	dependency-lost
experience/2026-04-05-optimization-memory-numa-binding-skill5.md	dependency-lost
experience/2026-04-05-optimization-memory-register-pressure-skill1.md	dependency-lost
experience/2026-04-05-optimization-memory-register-pressure-skill2.md	dependency-lost
experience/2026-04-05-optimization-memory-register-pressure-skill3.md	dependency-lost
experience/2026-04-05-optimization-memory-register-pressure-skill4.md	dependency-lost
experience/2026-04-05-optimization-memory-register-pressure-skill5.md	dependency-lost
experience/2026-04-05-optimization-memory-shared-memory-cache-skill1.md	dependency-lost
experience/2026-04-05-optimization-memory-shared-memory-cache-skill2.md	dependency-lost
experience/2026-04-05-optimization-memory-shared-memory-cache-skill3.md	dependency-lost
experience/2026-04-05-optimization-memory-shared-memory-cache-skill4.md	dependency-lost
experience/2026-04-05-optimization-memory-shared-memory-cache-skill5.md	dependency-lost
experience/2026-04-05-optimization-memory-unified-memory-skill1.md	dependency-lost
experience/2026-04-05-optimization-memory-unified-memory-skill2.md	dependency-lost
experience/2026-04-05-optimization-memory-unified-memory-skill3.md	dependency-lost
experience/2026-04-05-optimization-memory-unified-memory-skill4.md	dependency-lost
experience/2026-04-05-pattern-attention-skill6.md	dependency-lost
experience/2026-04-05-pattern-attention-skill7.md	dependency-lost
experience/2026-04-05-pattern-elementwise-skill1.md	dependency-lost
experience/2026-04-05-pattern-elementwise-skill2.md	dependency-lost
experience/2026-04-05-pattern-elementwise-skill3.md	dependency-lost
experience/2026-04-05-pattern-elementwise-skill5.md	dependency-lost
experience/2026-04-05-pattern-elementwise-skill6.md	dependency-lost
experience/2026-04-05-pattern-elementwise-skill7.md	dependency-lost
experience/2026-04-05-pattern-gemm-cublas-integration-skill1.md	dependency-lost
experience/2026-04-05-pattern-gemm-cublas-integration-skill2.md	dependency-lost
experience/2026-04-05-pattern-gemm-cublas-integration-skill3.md	dependency-lost
experience/2026-04-05-pattern-gemm-cublas-integration-skill4.md	dependency-lost
experience/2026-04-05-pattern-gemm-cublas-integration-skill5.md	dependency-lost
experience/2026-04-05-pattern-gemm-cublas-integration-skill6.md	dependency-lost
experience/2026-04-05-pattern-gemm-pipeline-overlap-skill3.md	dependency-lost
experience/2026-04-05-pattern-gemm-pipeline-overlap-skill4.md	dependency-lost
experience/2026-04-06-optimization-compute-instruction-level-parallelism-skill3.md	dependency-lost
experience/2026-04-06-optimization-compute-instruction-level-parallelism-skill4.md	dependency-lost
experience/2026-04-06-optimization-compute-operator-fusion-skill1.md	dependency-lost
